date,tweets,news,tic
2016-01-11,0.068368501,0.046509693,BAJAJFINSV.BO
2016-01-11,0,0.016043225,BHARTIARTL.BO
2016-01-11,-0.015854741,0,DRREDDY.BO
2016-01-11,0.046223094,0.081269621,HCLTECH.BO
2016-01-11,0.196430772,-0.041706456,HDFC.BO
2016-01-11,0.157404835,0.025401154,HDFCBANK.BO
2016-01-11,0.128653854,0.297686294,HINDUNILVR.BO
2016-01-11,0.180708972,0.010496148,ICICIBANK.BO
2016-01-11,0,0.032165876,INDUSINDBK.BO
2016-01-11,0.020664834,0.064011968,INFY.BO
2016-01-11,0.019427646,0.010974217,ITC.BO
2016-01-11,0.075954047,0.108487952,KOTAKBANK.BO
2016-01-11,-0.014993433,0.229718192,LT.BO
2016-01-11,0.076141968,0.048515517,M&M.BO
2016-01-11,0.104332653,0.002293284,MARUTI.BO
2016-01-11,0.227461751,0.106125356,NESTLEIND.BO
2016-01-11,0.029954655,0.01399604,NTPC.BO
2016-01-11,-0.086120141,0.040747921,ONGC.BO
2016-01-11,0.04959971,0.000983298,POWERGRID.BO
2016-01-11,-0.058875855,0.09252393,RELIANCE.BO
2016-01-11,-0.076842691,0.010465203,SBIN.BO
2016-01-11,0.144400031,-0.036225294,SUNPHARMA.BO
2016-01-11,0,-0.104696781,TCS.BO
2016-01-11,0.481426206,0.134786942,TECHM.BO
2016-01-11,0,0.081506961,TITAN.BO
2016-01-11,0,0,ULTRACEMCO.BO
2016-01-12,0,0.01701189,ASIANPAINT.BO
2016-01-12,0.021249153,-0.044683326,AXISBANK.BO
2016-01-12,0,-0.007802365,BAJAJ-AUTO.BO
2016-01-12,-0.021639039,0.000170072,BAJFINANCE.BO
2016-01-12,0.004968386,0.028907183,BAJAJFINSV.BO
2016-01-12,0,-0.020214143,BHARTIARTL.BO
2016-01-12,-0.088339296,0,DRREDDY.BO
2016-01-12,-0.038178447,0.096270814,HCLTECH.BO
2016-01-12,0.07094822,-0.084629746,HDFC.BO
2016-01-12,0.157058835,-0.070862495,HDFCBANK.BO
2016-01-12,0,0,HINDUNILVR.BO
2016-01-12,0.017912602,0.002341025,ICICIBANK.BO
2016-01-12,0.106622297,0.080934354,INDUSINDBK.BO
2016-01-12,0.009600543,0.051917491,INFY.BO
2016-01-12,-0.186085548,0.069861593,ITC.BO
2016-01-12,0.047642222,0.035849052,KOTAKBANK.BO
2016-01-12,0.105320335,-0.034473884,LT.BO
2016-01-12,0.098498929,0.008790007,M&M.BO
2016-01-12,0.065378022,-0.0043299,MARUTI.BO
2016-01-12,0.198664828,-0.1158878,NESTLEIND.BO
2016-01-12,0.163002427,0.126871035,NTPC.BO
2016-01-12,-0.097934438,0.128193404,ONGC.BO
2016-01-12,0,-0.081776824,POWERGRID.BO
2016-01-12,0,0.119937452,RELIANCE.BO
2016-01-12,-0.067167919,-0.030773742,SBIN.BO
2016-01-12,0.206936961,0.015454113,SUNPHARMA.BO
2016-01-12,0.107781459,0.000467902,TCS.BO
2016-01-12,0.158733225,-0.001750567,TECHM.BO
2016-01-12,0,0.065888657,TITAN.BO
2016-01-12,-0.02839541,0,ULTRACEMCO.BO
2016-01-13,0.379267186,0.001212981,ASIANPAINT.BO
2016-01-13,-0.012580601,-0.066404546,AXISBANK.BO
2016-01-13,-0.1000989,0.015177165,BAJAJ-AUTO.BO
2016-01-13,0,0.068121884,BAJFINANCE.BO
2016-01-13,0,-0.025824286,BAJAJFINSV.BO
2016-01-13,0,0.033394256,BHARTIARTL.BO
2016-01-13,-0.1904644,0.306505247,DRREDDY.BO
2016-01-13,0.085547611,0.011165928,HCLTECH.BO
2016-01-13,0.157495922,0.06385998,HDFC.BO
2016-01-13,0.21606573,0.052412534,HDFCBANK.BO
2016-01-13,0,0,HINDUNILVR.BO
2016-01-13,0.221350372,0.00472522,ICICIBANK.BO
2016-01-13,0.233095346,0.005530846,INDUSINDBK.BO
2016-01-13,0.055214604,0.163024289,INFY.BO
2016-01-13,0.082836841,-0.016181021,ITC.BO
2016-01-13,-0.011927122,0.118316203,KOTAKBANK.BO
2016-01-13,0,0,LT.BO
2016-01-13,0.060641467,0.061918671,M&M.BO
2016-01-13,0.204643988,0.132482286,MARUTI.BO
2016-01-13,0.199541243,-0.050162228,NESTLEIND.BO
2016-01-13,0.139204131,0.068543433,NTPC.BO
2016-01-13,0.056437802,0.363996807,ONGC.BO
2016-01-13,1.145783578,0.01532195,POWERGRID.BO
2016-01-13,0.123705115,-0.107636181,RELIANCE.BO
2016-01-13,-0.069163595,0.038808925,SBIN.BO
2016-01-13,0.100274093,-0.059182604,SUNPHARMA.BO
2016-01-13,0.056045123,0.166311101,TCS.BO
2016-01-13,0.071735761,0.061091312,TECHM.BO
2016-01-13,0,0.057449668,TITAN.BO
2016-01-13,-0.131304908,0,ULTRACEMCO.BO
2016-01-14,0.220316619,-0.031695089,ASIANPAINT.BO
2016-01-14,0.576395127,0.010305061,AXISBANK.BO
2016-01-14,0,0.129809629,BAJAJ-AUTO.BO
2016-01-14,0,0.115372433,BAJFINANCE.BO
2016-01-14,0,0.139995358,BAJAJFINSV.BO
2016-01-14,0,0.039826115,BHARTIARTL.BO
2016-01-14,-0.21063014,0,DRREDDY.BO
2016-01-14,0.085261479,-0.044385649,HCLTECH.BO
2016-01-14,0.138997187,-0.013596472,HDFC.BO
2016-01-14,-0.01981045,-0.001337158,HDFCBANK.BO
2016-01-14,0,-0.100125399,HINDUNILVR.BO
2016-01-14,-0.041023011,0.064488964,ICICIBANK.BO
2016-01-14,-0.005704353,0.10013615,INDUSINDBK.BO
2016-01-14,0.158966616,0.067926185,INFY.BO
2016-01-14,0.016935189,0.061820751,ITC.BO
2016-01-14,0.158880001,0.043723385,KOTAKBANK.BO
2016-01-14,0,0,LT.BO
2016-01-14,0.088158979,0.031330692,M&M.BO
2016-01-14,0.100435673,0.059454736,MARUTI.BO
2016-01-14,0.159677599,0.013399924,NESTLEIND.BO
2016-01-14,0.439029706,0.074600998,NTPC.BO
2016-01-14,0.009856464,0.00410819,ONGC.BO
2016-01-14,0.181187382,0,POWERGRID.BO
2016-01-14,0.071399872,-0.006745758,RELIANCE.BO
2016-01-14,-0.059659388,-0.002636029,SBIN.BO
2016-01-14,0.037632122,0.034319733,SUNPHARMA.BO
2016-01-14,0.082745481,0.120637805,TCS.BO
2016-01-14,0.176713124,0.172292338,TECHM.BO
2016-01-14,-0.140429454,0.02936291,TITAN.BO
2016-01-14,0,0,ULTRACEMCO.BO
